case,soil,test_type,reported_trigger_i,reported_applied_i,i_over_short_term_trigger,reported_fines_or_soil_loss_percent,reported_k_over_k0,reported_behavior
gap_graded_short_term,gap-graded silty sand,stepwise short-term seepage,10.0,12.0,1.2,4.1,3.0,critical-gradient state reached; fines discharge and permeability increase
gap_graded_long_term_subcritical,gap-graded silty sand,long-term constant-gradient seepage,10.0,5.0,0.5,14.0,2.0,suffusion occurred below the short-term critical gradient
gwanak_short_term,well-graded Gwanak silty sand,stepwise short-term seepage,35.0,40.0,1.14,5.1,1.2,critical-gradient state reached after permeability increase
gwanak_long_term_subcritical,well-graded Gwanak silty sand,long-term constant-gradient seepage,35.0,17.0,0.4857142857142857,11.3,3.0,delayed suffusion and permeability surge below the short-term critical gradient
