time_h,lambda_connectivity,global_degradation_surrogate,g_internal_erosion,g_global,dem_active_cells,mean_fines_loss,max_permeability_ratio
0.0,0.5922251745967739,1.4777961057886468,0.40777482540322607,0.47779610578864684,0,0.0002919283605627753,1.051997684536522
0.5,0.5936422428649298,1.477566409363731,0.40635775713507016,0.47756640936373107,0,0.00032235400459203743,1.052247315953906
1.0,0.5953460677746184,1.4773130134959358,0.4046539322253816,0.4773130134959358,0,0.00035591888256021896,1.0540063515598181
1.5,0.5972573456806589,1.4770335254897398,0.4027426543193411,0.47703352548973976,0,0.00039293993149507647,1.0559499253644993
2.0,0.5995378090330815,1.476725322554246,0.4004621909669185,0.47672532255424604,0,0.0004337645669135447,1.0580973396746556
2.5,0.6020816299013854,1.4763855321865305,0.39791837009861464,0.47638553218653046,0,0.000478773281248017,1.0604699021821922
3.0,0.6046515992254574,1.4760110114428162,0.3953484007745426,0.4760110114428162,0,0.0005283823895917962,1.0630911309920166
3.5,0.6070949032877585,1.475598325169711,0.3929050967122415,0.4755983251697109,0,0.0005830469131945108,1.0659869797700368
4.0,0.6102013589883505,1.4751437233102354,0.3897986410116495,0.47514372331023536,0,0.0006432635855111173,1.0691860847618793
4.5,0.6136360468438655,1.474643117451799,0.3863639531561345,0.4746431174517991,0,0.0007095739586626825,1.0727200355214208
5.0,0.6173738284300081,1.4740920568472446,0.3826261715699919,0.47409205684724465,0,0.0007825675796947446,1.0766236712605393
5.5,0.6214544740584061,1.4734857042172294,0.37854552594159385,0.47348570421722935,0,0.0008628851957996737,1.080935404778986
6.0,0.6259657426094709,1.4728188117342462,0.3740342573905291,0.4728188117342462,0,0.0009512219354789159,1.0856975759446912
6.5,0.6309531378126131,1.4720856976971337,0.3690468621873869,0.4720856976971337,0,0.0010483303982432802,1.0909568366554236
7.0,0.6367299759199624,1.4712802245314183,0.3632700240800376,0.47128022453141827,0,0.0011550235686928006,1.0967645691036254
7.5,0.643363191336863,1.4703957788963882,0.35663680866313696,0.4703957788963882,0,0.0012721774515385292,1.103177338963108
8.0,0.6507201589476689,1.4694252548448736,0.3492798410523311,0.46942525484487363,0,0.0014007333022621644,1.11025738478839
8.5,0.658582731928201,1.4683610411659067,0.34141726807179895,0.4683610411659067,0,0.0015416993037103595,1.1180731444260317
9.0,0.6671115667476748,1.467195014242057,0.3328884332523252,0.4671950142420569,0,0.0016961515122138348,1.1266998185342516
9.5,0.6765444275141782,1.465918537968827,0.3234555724858218,0.4659185379688271,0,0.0018652338682641498,1.1362237935070578
10.0,0.686330535101256,1.4645224725073054,0.31366946489874403,0.4645224725073054,0,0.00205015703713537,1.1467865955946555
10.5,0.69640100232477,1.462997193864611,0.30359899767523,0.4629971938646109,0,0.00225219581525341,1.1584393221329414
11.0,0.7092755803306761,1.4613326265072963,0.29072441966932394,0.46133262650729634,0,0.0024726848102169206,1.1712913380358507
11.5,0.7225156494883477,1.4595182913942641,0.2774843505116523,0.45951829139426414,0,0.0027130120783455205,1.1854621587224103
12.0,0.7359918349196667,1.4575433719466409,0.2640081650803333,0.45754337194664085,0,0.00297461038629435,1.2010821670431442
12.5,0.7527693815230382,1.4553968005259887,0.24723061847696182,0.45539680052598874,0,0.003258945756129151,1.2182933159812224
13.0,0.7722192828014706,1.453067367937685,0.22778071719852944,0.4530673679376851,0,0.0035675029604822165,1.2372497940678209
13.5,0.7939350857304334,1.4505438582771846,0.20606491426956663,0.4505438582771846,0,0.0039017676607837437,1.258118623600074
14.0,0.817506422665922,1.4478152110540283,0.182493577334078,0.44781521105402833,0,0.0042632049322765,1.281080153640395
14.5,0.8427722195258288,1.4448707119219906,0.15722778047417119,0.44487071192199057,0,0.0046532339998543405,1.3063284003915807
15.0,0.8705014369651513,1.4382149681927925,0.12949856303484875,0.4382149681927925,0,0.005073199123593855,1.3340711769762612
15.5,0.9009310095395148,1.429636106805728,0.09906899046048523,0.42963610680572795,0,0.005524336725968324,1.364529943158211
16.0,0.9342954849271939,1.4203147315485367,0.06570451507280606,0.4203147315485367,0,0.006007739045993758,1.3979392936100898
16.5,0.9709980176912162,1.410175445564777,0.029001982308783814,0.41017544556477703,0,0.006524314837853394,1.4345459917389782
17.0,1.011404714835648,1.399150848388757,-0.011404714835647978,0.3991508483887569,81,0.007074747897743112,1.474607445978339
17.5,1.0597145661914593,1.3865239691689426,-0.05971456619145932,0.3865239691689426,105,0.007659454492605778,1.5183895184196594
18.0,1.1148826803338245,1.3724716358879845,-0.11488268033382454,0.3724716358879845,131,0.00827854106213653,1.5661635537152496
18.5,1.1696223674587944,1.3582344260426868,-0.16962236745879444,0.35823442604268685,147,0.00893176384900664,1.618202521774445
