source_id,citation,doi,source_locator,table_or_figure,rights_boundary,zone,i_max,observed_particle_loss_percent,split
Ke_Takahashi_2012_A60_Table6,"Ke, L. and Takahashi, A. (2012). Strength reduction of cohesionless soil due to internal erosion induced by one-dimensional upward seepage flow. Soils and Foundations 52(4):698-711.",10.1016/j.sandf.2012.07.010,https://www.sciencedirect.com/science/article/pii/S0038080612000807,"Table 6, fine particle loss at different depths for Specimen A-60",This package stores only a small rights-safe transcribed validation table and derived residual metrics; it does not redistribute the article.,A,0.45,3.0,calibration_state
Ke_Takahashi_2012_A60_Table6,"Ke, L. and Takahashi, A. (2012). Strength reduction of cohesionless soil due to internal erosion induced by one-dimensional upward seepage flow. Soils and Foundations 52(4):698-711.",10.1016/j.sandf.2012.07.010,https://www.sciencedirect.com/science/article/pii/S0038080612000807,"Table 6, fine particle loss at different depths for Specimen A-60",This package stores only a small rights-safe transcribed validation table and derived residual metrics; it does not redistribute the article.,B,0.45,2.7,calibration_state
Ke_Takahashi_2012_A60_Table6,"Ke, L. and Takahashi, A. (2012). Strength reduction of cohesionless soil due to internal erosion induced by one-dimensional upward seepage flow. Soils and Foundations 52(4):698-711.",10.1016/j.sandf.2012.07.010,https://www.sciencedirect.com/science/article/pii/S0038080612000807,"Table 6, fine particle loss at different depths for Specimen A-60",This package stores only a small rights-safe transcribed validation table and derived residual metrics; it does not redistribute the article.,C,0.45,4.1,calibration_state
Ke_Takahashi_2012_A60_Table6,"Ke, L. and Takahashi, A. (2012). Strength reduction of cohesionless soil due to internal erosion induced by one-dimensional upward seepage flow. Soils and Foundations 52(4):698-711.",10.1016/j.sandf.2012.07.010,https://www.sciencedirect.com/science/article/pii/S0038080612000807,"Table 6, fine particle loss at different depths for Specimen A-60",This package stores only a small rights-safe transcribed validation table and derived residual metrics; it does not redistribute the article.,A,0.51,3.0,heldout_residual_state
Ke_Takahashi_2012_A60_Table6,"Ke, L. and Takahashi, A. (2012). Strength reduction of cohesionless soil due to internal erosion induced by one-dimensional upward seepage flow. Soils and Foundations 52(4):698-711.",10.1016/j.sandf.2012.07.010,https://www.sciencedirect.com/science/article/pii/S0038080612000807,"Table 6, fine particle loss at different depths for Specimen A-60",This package stores only a small rights-safe transcribed validation table and derived residual metrics; it does not redistribute the article.,B,0.51,2.94,heldout_residual_state
Ke_Takahashi_2012_A60_Table6,"Ke, L. and Takahashi, A. (2012). Strength reduction of cohesionless soil due to internal erosion induced by one-dimensional upward seepage flow. Soils and Foundations 52(4):698-711.",10.1016/j.sandf.2012.07.010,https://www.sciencedirect.com/science/article/pii/S0038080612000807,"Table 6, fine particle loss at different depths for Specimen A-60",This package stores only a small rights-safe transcribed validation table and derived residual metrics; it does not redistribute the article.,C,0.51,5.11,heldout_residual_state
