n,dx,l2_error,max_error,mass_balance_error,order_l2
25,0.04,0.012092186553914587,0.03180447258760066,1.1102230246251565e-16,
50,0.02,0.0061932753427849496,0.016910067107335447,1.1102230246251565e-15,0.9653006492004949
100,0.01,0.0031338435586031133,0.008722107653040823,1.7763568394002505e-15,0.9827694250127056
200,0.005,0.0015762753126799727,0.004429832327092931,5.662137425588298e-15,0.99141362399009
400,0.0025,0.0007904825975554556,0.0022323700694044657,5.10702591327572e-15,0.995713931146344
