particle_id,x,y,vx,vy,detached
0,2.9350820620891205,0.0,1.2214353689375474,0.0,True
1,4.13022790745829,0.0,1.3027678089396255,0.0,True
2,5.326426337034335,0.0,1.3842934181292212,0.0,True
3,6.52051959819663,0.0,1.46543268894378,0.0,True
4,7.717770611979561,0.0,1.5471514673208946,0.0,True
5,8.913442749452159,0.0,1.6285804919167302,0.0,True
6,10.109114886924766,0.0,1.7100095165125662,0.0,True
7,11.30478702439739,0.0,1.7914385411084035,0.0,True
8,12.500459161869978,0.0,1.8728675657042406,0.0,True
9,13.696131299342603,0.0,1.9542965903000775,0.0,True
10,14.891803436815199,0.0,2.0357256148959135,0.0,True
11,2.932316232506237,1.0,1.2184309042370367,0.0,True
12,4.126753261051164,1.0,1.2994665049639686,0.0,True
13,5.3201452673815055,1.0,1.3803086912563673,0.0,True
14,6.515627484170062,1.0,1.4615377370048679,0.0,True
15,7.712162096317057,1.0,1.5429597692871397,0.0,True
16,8.907123562269755,1.0,1.6240919855496652,0.0,True
17,10.10208502822246,1.0,1.705224201812192,0.0,True
18,11.29704649417516,1.0,1.7863564180747171,0.0,True
19,12.492007960127857,1.0,1.867488634337242,0.0,True
20,13.691705972009979,1.0,1.9494894467792592,0.0,True
21,14.887193720843737,1.0,2.0307181737283955,0.0,True
22,2.9247443428943978,2.0,1.2166628190784854,0.0,True
23,4.118154007417383,2.0,1.2974838598406413,0.0,True
24,5.310522424111176,2.0,1.3781113052818303,0.0,True
25,6.504973833008369,2.0,1.4591260332565767,0.0,True
26,7.700473691546253,2.0,1.5403338895361138,0.0,True
27,8.89440602870921,2.0,1.6212516571505202,0.0,True
28,10.08833836587217,2.0,1.7021694247649268,0.0,True
29,11.282270703035135,2.0,1.783087192379333,0.0,True
30,12.476203040198095,2.0,1.8640049599937405,0.0,True
31,13.674854600699666,2.0,1.9457920436069485,0.0,True
32,14.87457404388346,2.0,2.0277713907465937,0.0,True
33,2.9193119863271897,3.0,1.2177517333286592,0.0,True
34,4.108761571740236,3.0,1.2979662771630627,0.0,True
35,5.299228424228856,3.0,1.3783755554560995,0.0,True
36,6.490718365170041,3.0,1.4589792680891716,0.0,True
37,7.683237217921895,3.0,1.5397771220921848,0.0,True
38,8.876790808369964,3.0,1.6207688316563273,0.0,True
39,10.071384965799695,3.0,1.7019541182075384,0.0,True
40,11.267025524069163,3.0,1.7833327105345071,0.0,True
41,12.463718323030706,3.0,1.8649043449604827,0.0,True
42,13.666188446717014,3.0,1.947538631560102,0.0,True
43,14.865546814005903,3.0,2.0295913282460956,0.0,True
44,2.921026826598579,4.0,1.220699178147361,0.0,True
45,4.110084585603555,4.0,1.3010120341459173,0.0,True
46,5.300155685454951,4.0,1.381519965835516,0.0,True
47,6.4912459543675425,4.0,1.4622226701882124,0.0,True
48,7.683361224439166,4.0,1.5431198517434366,0.0,True
49,8.876507331022129,4.0,1.6242112223938256,0.0,True
50,10.07069011226024,4.0,1.7054965012060253,0.0,True
51,11.265915408869873,4.0,1.7869754142903571,0.0,True
52,12.46218906422737,4.0,1.868647694729793,0.0,True
53,13.664219031096989,4.0,1.9513844909099771,0.0,True
54,14.868411359187617,4.0,2.0345049974461746,0.0,True
55,2.9283145768939085,5.0,1.2227975344505226,0.0,True
56,4.1183538762601515,5.0,1.3033455006897432,0.0,True
57,5.309420161570763,5.0,1.3840902536608601,0.0,True
58,6.501509504061842,5.0,1.4650296247661052,0.0,True
59,7.694627739283337,5.0,1.54616332447776,0.0,True
60,8.8887807089795,5.0,1.6274910711008057,0.0,True
61,10.08397426030931,5.0,1.7090125905290052,0.0,True
62,11.280214245086462,5.0,1.7907276160089751,0.0,True
63,12.477506519135048,5.0,1.8726358879298999,0.0,True
64,13.675856941851514,5.0,1.9547371536550502,0.0,True
65,14.875271376050677,5.0,2.0370311674084594,0.0,True
66,2.9344576684025965,6.0,1.222112608577543,0.0,True
67,4.125416237025499,6.0,1.3027130630234331,0.0,True
68,5.317404285022234,6.0,1.3835097274300947,0.0,True
69,6.510419283030505,6.0,1.464500714468344,0.0,True
70,7.704467064144495,6.0,1.54568573854232,0.0,True
71,8.899553470552657,6.0,1.6270645223648106,0.0,True
72,10.095684353066959,6.0,1.7086367967656553,0.0,True
73,11.29286557043503,6.0,1.790402300463328,0.0,True
74,12.49110298851433,6.0,1.8723607798151167,0.0,True
75,13.690402479401158,6.0,1.9545119885634887,0.0,True
76,14.890769920615169,6.0,2.036855687597069,0.0,True
