section,observed_score,observed_max,observed_days,turbidity_fnu_mean,turbidity_rows,pred_score_sum,pred_score_max,path_cell_count,pred_proportion,pred_rank,observed_proportion,observed_rank,absolute_proportion_error,x_mid_rel
section_1,2.2297006144065244e-05,0.0001947577234616,955,4.500192307692308,1,42.89362443850247,2.1547252329922717,23,0.08858436357399595,6,0.23543052385253446,2,0.14684616027853853,0.0625
section_2,1.398443429642257e-05,0.000155494768513,955,1.8996794871794875,1,66.54751770107983,2.212082919782323,38,0.13743463230604996,3,0.1476594064205538,3,0.010224774114503843,0.1875
section_3,2.352058154753952e-06,0.0002012725688848,955,2.676089743589744,1,40.39988443483642,1.944027913091968,30,0.08343426553412316,7,0.024835006095773004,6,0.05859925943835015,0.3125
section_4,1.4850993772049645e-06,0.0002310093489384,955,1.6729936305732482,1,32.50996508194973,1.5188982402229256,30,0.06713992124228828,8,0.01568092694101445,8,0.051458994301273826,0.4375
section_5,1.6249717683804116e-06,0.0002297077954388,955,1.7909554140127388,1,58.199365430298144,3.306516295400389,30,0.12019394058072691,5,0.017157817161798965,7,0.10303612341892794,0.5625
section_6,8.575064356701133e-06,0.0002497595334441,955,1.5928205128205128,1,80.79300825573448,3.881531007133982,30,0.16685456897735426,2,0.09054273387751176,5,0.0763118350998425,0.6875
section_7,3.1954834888895004e-05,0.0188326691095222,955,2.62203821656051,1,63.11814497993725,3.342659378555435,30,0.13035225575388926,4,0.33740599383187675,1,0.2070537380779875,0.8125
section_8,1.2433902764706658e-05,0.0001349781856794,955,2.3269871794871797,1,99.75063172994088,5.10663180824602,35,0.20600605203157224,1,0.13128759181893684,4,0.0747184602126354,0.9375
