source_id,citation,doi,source_locator,table_or_figure,rights_boundary,zone,calibration_i_max,heldout_i_max,calibration_particle_loss_percent,observed_particle_loss_percent,predicted_particle_loss_percent,residual_percent_points,absolute_error_percent_points,observed_delta_from_calibration,predicted_delta_from_calibration,observed_direction,predicted_direction
Ke_Takahashi_2012_A60_Table6,"Ke, L. and Takahashi, A. (2012). Strength reduction of cohesionless soil due to internal erosion induced by one-dimensional upward seepage flow. Soils and Foundations 52(4):698-711.",10.1016/j.sandf.2012.07.010,https://www.sciencedirect.com/science/article/pii/S0038080612000807,"Table 6, fine particle loss at different depths for Specimen A-60",This package stores only a small rights-safe transcribed validation table and derived residual metrics; it does not redistribute the article.,A,0.45,0.51,3.0,3.0,3.22755,0.22754999999999992,0.22754999999999992,0.0,0.22754999999999992,no_increase,increase
Ke_Takahashi_2012_A60_Table6,"Ke, L. and Takahashi, A. (2012). Strength reduction of cohesionless soil due to internal erosion induced by one-dimensional upward seepage flow. Soils and Foundations 52(4):698-711.",10.1016/j.sandf.2012.07.010,https://www.sciencedirect.com/science/article/pii/S0038080612000807,"Table 6, fine particle loss at different depths for Specimen A-60",This package stores only a small rights-safe transcribed validation table and derived residual metrics; it does not redistribute the article.,B,0.45,0.51,2.7,2.94,2.904795,-0.03520499999999993,0.03520499999999993,0.23999999999999977,0.20479499999999984,increase,increase
Ke_Takahashi_2012_A60_Table6,"Ke, L. and Takahashi, A. (2012). Strength reduction of cohesionless soil due to internal erosion induced by one-dimensional upward seepage flow. Soils and Foundations 52(4):698-711.",10.1016/j.sandf.2012.07.010,https://www.sciencedirect.com/science/article/pii/S0038080612000807,"Table 6, fine particle loss at different depths for Specimen A-60",This package stores only a small rights-safe transcribed validation table and derived residual metrics; it does not redistribute the article.,C,0.45,0.51,4.1,5.11,4.410984999999999,-0.699015000000001,0.699015000000001,1.0100000000000007,0.3109849999999996,increase,increase
