case,bond_resistance_factor,normal_stiffness_factor,damping_factor,returned_detachment_multiplier,peak_lambda_adjusted
low bond resistance,0.75,1.0,1.0,1.31,7.174921765789741
baseline,1.0,1.0,1.0,1.0,6.70553436055116
high bond resistance,1.25,1.0,1.0,0.78,6.30320229891809
high DEM damping,1.0,1.0,1.35,0.91,6.504368329734625
