critical_gradient_scale,peak_lambda,minimum_global_surrogate
0.75,8.940712480734879,-0.2554211217249298
0.8,8.38191795068895,-0.13792605161712146
0.85,7.8888639535896,-0.0342539309337615
0.9,7.450593733945733,0.05789906522922528
0.9500000000000001,7.058457221632799,0.14035174600663458
1.0,6.70553436055116,0.2145591587063027
1.05,6.386223200524913,0.2816991987679075
1.1,6.095940327773781,0.3427355988239117
1.1500000000000001,5.83089944395753,0.39846448583156757
1.2000000000000002,5.587945300459299,0.44954929892191897
1.25,5.364427488440928,0.4965473269650422
1.3000000000000003,5.158103354270122,0.5399301220817715
1.35,4.967062489297155,0.5800993768194835
