grid,cells,t_lambda_equals_1_h,t_global_surrogate_equals_1_h,lead_interval_h,peak_lambda
48 x 24,1152,17.011397937634946,26.27281784229231,9.261419904657362,6.239601993641778
96 x 48,4608,16.85887593342655,25.844775398243087,8.985899464816537,6.70553436055116
192 x 96,18432,16.83226103606849,25.870766676325708,9.038505640257217,6.6542080766529
